cd_plano_conta_rel,ds_plano_conta,nivel,vl_abr,vl_abr_f,vl_ago,vl_ago_f,vl_atualizado,vl_atualizado_f,vl_dez,vl_dez_f,vl_fev,vl_fev_f,vl_jan,vl_jan_f,vl_jul,vl_jul_f,vl_jun,vl_jun_f,vl_mai,vl_mai_f,vl_mar,vl_mar_f,vl_nov,vl_nov_f,vl_out,vl_out_f,vl_periodo,vl_periodo_f,vl_previsto,vl_previsto_f,vl_set,vl_set_f,vl_total,vl_total_f
1.3.1.1.01.1.1.01.01,RECEITA FEIRARTE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2,Valores Mobiliários,3,"R$ 7.719.440,75",7719440.75,"R$ 6.273.282,76",6273282.76000001,"R$ 34.141.000,00",34141000,"R$ 0,00",0,"R$ 6.569.913,32",6569913.31999999,"R$ 4.514.318,08",4514318.08,"R$ 7.812.388,75",7812388.75,"R$ 6.140.551,11",6140551.11,"R$ 6.612.192,35",6612192.35,"R$ 3.485.462,33",3485462.33,"R$ 4.702.893,80",4702893.8,"R$ 5.457.569,03",5457569.03,,0,"R$ 34.141.000,00",34141000,"R$ 5.759.326,36",5759326.36,"R$ 65.047.338,64",65047338.64
1.3.2.1,Juros e Correções Monetárias,4,"R$ 7.475.479,66",7475479.66,"R$ 6.270.693,36",6270693.36,"R$ 34.141.000,00",34141000,"R$ 0,00",0,"R$ 6.569.913,32",6569913.32,"R$ 4.514.318,08",4514318.08,"R$ 7.812.388,75",7812388.75,"R$ 6.140.551,11",6140551.10999999,"R$ 6.612.192,35",6612192.35,"R$ 3.485.462,33",3485462.33,"R$ 4.702.893,80",4702893.8,"R$ 5.457.569,03",5457569.02999999,,0,"R$ 34.141.000,00",34141000,"R$ 5.759.326,36",5759326.36,"R$ 64.800.788,15",64800788.15
1.3.2.1.01,Remuneração de Depósitos Bancários,5,"R$ 7.475.479,66",7475479.66,"R$ 6.270.693,36",6270693.36,"R$ 33.947.000,00",33947000,"R$ 0,00",0,"R$ 6.569.913,32",6569913.31999999,"R$ 4.514.318,08",4514318.08,"R$ 7.812.388,75",7812388.75,"R$ 6.140.551,11",6140551.11,"R$ 6.612.192,35",6612192.35,"R$ 3.485.462,33",3485462.33,"R$ 4.702.893,80",4702893.8,"R$ 5.457.569,03",5457569.03,,0,"R$ 33.947.000,00",33947000,"R$ 5.759.326,36",5759326.36,"R$ 64.800.788,15",64800788.15
1.3.2.1.01.0.1,Remuneração de Depósitos Bancários - Principal,7,"R$ 7.475.479,66",7475479.66,"R$ 6.270.693,36",6270693.36,"R$ 33.947.000,00",33947000,"R$ 0,00",0,"R$ 6.569.913,32",6569913.32,"R$ 4.514.318,08",4514318.08,"R$ 7.812.388,75",7812388.75,"R$ 6.140.551,11",6140551.11,"R$ 6.612.192,35",6612192.35,"R$ 3.485.462,33",3485462.33,"R$ 4.702.893,80",4702893.8,"R$ 5.457.569,03",5457569.03,,0,"R$ 33.947.000,00",33947000,"R$ 5.759.326,36",5759326.36,"R$ 64.800.788,15",64800788.15
1.3.2.1.01.0.1.01,Remuneração de Depósitos Bancários - Principal,8,"R$ 5.681.265,12",5681265.12,"R$ 4.074.900,63",4074900.63,"R$ 29.593.000,00",29593000,"R$ 0,00",0,"R$ 4.825.175,27",4825175.27,"R$ 2.845.515,91",2845515.91,"R$ 5.432.177,88",5432177.88,"R$ 4.028.898,58",4028898.58,"R$ 4.207.288,18",4207288.18,"R$ 2.089.630,93",2089630.93,"R$ 2.637.114,97",2637114.97,"R$ 3.235.350,74",3235350.74,,0,"R$ 29.593.000,00",29593000,"R$ 3.634.098,12",3634098.12,"R$ 42.691.416,33",42691416.33
1.3.2.1.01.0.1.01.01,AP RENDIMENTOS FUNDO MUNICPAL DA JUVENTUDE,9,"R$ 897,24",897.24,"R$ 1.042,03",1042.03,"R$ 0,00",0,"R$ 0,00",0,"R$ 809,36",809.36,"R$ 802,27",802.27,"R$ 1.130,96",1130.96,"R$ 959,92",959.92,"R$ 982,77",982.77,"R$ 799,38",799.38,"R$ 969,20",969.2,"R$ 1.161,44",1161.44,,0,"R$ 0,00",0,"R$ 1.101,10",1101.1,"R$ 10.655,67",10655.67
1.3.2.1.01.0.1.01.02,AP FUNDEB,9,"R$ 87.901,92",87901.92,"R$ 93.582,79",93582.79,"R$ 10.000,00",10000,"R$ 0,00",0,"R$ 118.627,37",118627.37,"R$ 84.233,54",84233.54,"R$ 112.515,33",112515.33,"R$ 104.834,41",104834.41,"R$ 92.496,57",92496.57,"R$ 94.418,31",94418.31,"R$ 83.007,55",83007.55,"R$ 96.376,69",96376.69,,0,"R$ 10.000,00",10000,"R$ 52.019,16",52019.16,"R$ 1.020.013,64",1020013.64
1.3.2.1.01.0.1.01.03,AP MEDIA E ALTA COMPLEXIDADE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.04,AP ESTADUAL - CUSTEIO DE AÇÕES DA SAUDE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.05,AP TRANSF. FUNDO ESTADUAL SAUDE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.06,AP FUNDURB PTIV 01/2018,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.07,AP SALARIO EDUCAÇÃO - QSE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.08,AP MERENDA ESCOLAR - ESTADO,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.09,AP 00060 - RECEITAS EDUCAÇÃO ART 212,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.10,AP 00295 - APLICAÇÃO EDUCAÇÃO ESPECIAL,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.11,AP (C) 00296 - APLICACAO SEDUC/PNATE,9,"R$ 382,51",382.51,"R$ 467,44",467.44,"R$ 0,00",0,"R$ 0,00",0,"R$ 290,83",290.83,"R$ 288,28",288.28,"R$ 507,32",507.32,"R$ 430,61",430.61,"R$ 440,84",440.84,"R$ 287,25",287.25,"R$ 517,60",517.6,"R$ 620,26",620.26,,0,"R$ 0,00",0,"R$ 576,65",576.65,"R$ 4.809,59",4809.59
1.3.2.1.01.0.1.01.12,AP 00301 - AP.FNDE PDDE/DINHEIRO NA ESCOLA,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.13,AP TRANSPORTE DE ALUNOS DA REDE ESTADUAL,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 1.000,00",1000,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 1.000,00",1000,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.14,AP FMS/SANTOS-CONTRAPARTIDA RECURSOS PROPRIOS,9,"R$ 205.844,15",205844.15,"R$ 260.180,62",260180.62,"R$ 505.000,00",505000,"R$ 0,00",0,"R$ 142.060,25",142060.25,"R$ 137.285,68",137285.68,"R$ 286.480,98",286480.98,"R$ 242.421,71",242421.71,"R$ 233.873,38",233873.38,"R$ 167.353,39",167353.39,"R$ 59.378,53",59378.53,"R$ 280.611,66",280611.66,,0,"R$ 505.000,00",505000,"R$ 252.717,69",252717.69,"R$ 2.268.208,04",2268208.04
1.3.2.1.01.0.1.01.15,AP 00302 - AP. COTA-PARTE CIDE,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.16,AP PISO BASICO FIXO-PBF,9,"R$ 2.777,13",2777.13,"R$ 3.701,96",3701.96,"R$ 0,00",0,"R$ 0,00",0,"R$ 1.886,76",1886.76,"R$ 1.941,85",1941.85,"R$ 4.596,02",4596.02,"R$ 3.481,83",3481.83,"R$ 3.393,16",3393.16,"R$ 2.140,80",2140.8,"R$ 3.476,60",3476.6,"R$ 3.884,53",3884.53,,0,"R$ 0,00",0,"R$ 3.294,85",3294.85,"R$ 34.575,49",34575.49
1.3.2.1.01.0.1.01.17,AP BOLSA FAMILIA,9,"R$ 6.196,37",6196.37,"R$ 7.288,63",7288.63,"R$ 0,00",0,"R$ 0,00",0,"R$ 5.515,48",5515.48,"R$ 6.294,03",6294.03,"R$ 8.524,99",8524.99,"R$ 6.861,77",6861.77,"R$ 6.833,26",6833.26,"R$ 5.220,87",5220.87,"R$ 6.547,19",6547.19,"R$ 7.596,76",7596.76,,0,"R$ 0,00",0,"R$ 7.401,29",7401.29,"R$ 74.280,64",74280.64
1.3.2.1.01.0.1.01.18,AP 00322 - AP BPC PROJ B. PRE.CONT.ESCOLA,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.19,AP SEAS - FMAS - IGD - SUAS,9,"R$ 1,89",1.89,"R$ 2,20",2.2,"R$ 0,00",0,"R$ 0,00",0,"R$ 1,70",1.7,"R$ 1,69",1.69,"R$ 2,38",2.38,"R$ 2,03",2.03,"R$ 2,07",2.07,"R$ 1,69",1.69,"R$ 2,04",2.04,"R$ 2,45",2.45,,0,"R$ 0,00",0,"R$ 2,32",2.32,"R$ 22,46",22.46
1.3.2.1.01.0.1.01.20,AP SEAS-FMAS-AP REDE,9,"R$ 9,51",9.51,"R$ 11,03",11.03,"R$ 0,00",0,"R$ 0,00",0,"R$ 8,57",8.57,"R$ 8,50",8.5,"R$ 11,98",11.98,"R$ 10,17",10.17,"R$ 10,40",10.4,"R$ 8,46",8.46,"R$ 10,27",10.27,"R$ 12,30",12.3,,0,"R$ 0,00",0,"R$ 11,66",11.66,"R$ 112,85",112.85
1.3.2.1.01.0.1.01.21,AP DO FDO SOCIAL DE SOLIDARIEDADE,9,"R$ 0,00",0,"R$ 1.080,94",1080.94,"R$ 1.000,00",1000,"R$ 0,00",0,"R$ 523,73",523.73,"R$ 519,14",519.14,"R$ 1.173,17",1173.17,"R$ 659,10",659.1,"R$ 1.216,54",1216.54,"R$ 517,27",517.27,"R$ 1.005,38",1005.38,"R$ 1.204,81",1204.81,,0,"R$ 1.000,00",1000,"R$ 1.142,20",1142.2,"R$ 9.042,28",9042.28
1.3.2.1.01.0.1.01.22,AP DO FDO. AS. INV. TUR - FAITUR,9,"R$ 3.085,58",3085.58,"R$ 3.773,95",3773.95,"R$ 0,00",0,"R$ 0,00",0,"R$ 2.147,74",2147.74,"R$ 1.843,63",1843.63,"R$ 3.896,41",3896.41,"R$ 3.263,94",3263.94,"R$ 3.045,64",3045.64,"R$ 2.513,61",2513.61,"R$ 4.147,63",4147.63,"R$ 4.898,59",4898.59,,0,"R$ 0,00",0,"R$ 4.421,72",4421.72,"R$ 37.038,44",37038.44
1.3.2.1.01.0.1.01.23,AP DONAT CORPO DE BOMBEIROS/DEF.CIV,9,"R$ 6.196,92",6196.92,"R$ 36.707,25",36707.25,"R$ 0,00",0,"R$ 0,00",0,"R$ 28.532,16",28532.16,"R$ 23.874,52",23874.52,"R$ 39.933,05",39933.05,"R$ 33.797,18",33797.18,"R$ 59.625,15",59625.15,"R$ 28.002,71",28002.71,"R$ 34.348,40",34348.4,"R$ 41.196,24",41196.24,,0,"R$ 0,00",0,"R$ 38.960,43",38960.43,"R$ 371.174,01",371174.01
1.3.2.1.01.0.1.01.24,AP FDO MUN. EDUCAÇÃO - FME,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.25,AP DO FDO. AS. CULTURA - FACULT,9,"R$ 7.561,64",7561.64,"R$ 5.639,52",5639.52,"R$ 0,00",0,"R$ 0,00",0,"R$ 9.545,42",9545.42,"R$ 8.827,39",8827.39,"R$ 7.417,66",7417.66,"R$ 5.052,88",5052.88,"R$ 6.085,01",6085.01,"R$ 11.269,28",11269.28,"R$ 6.293,11",6293.11,"R$ 7.592,18",7592.18,,0,"R$ 0,00",0,"R$ 6.644,79",6644.79,"R$ 81.928,88",81928.88
1.3.2.1.01.0.1.01.26,AP ROYALTIES - APLICACAO,9,"R$ 6.964,97",6964.97,"R$ 23.287,17",23287.17,"R$ 0,00",0,"R$ 0,00",0,"R$ 13.315,00",13315,"R$ 10.741,77",10741.77,"R$ 22.190,48",22190.48,"R$ 14.971,27",14971.27,"R$ 11.854,14",11854.14,"R$ 2.414,29",2414.29,"R$ 19.242,06",19242.06,"R$ 34.597,24",34597.24,,0,"R$ 0,00",0,"R$ 28.708,60",28708.6,"R$ 188.286,99",188286.99
1.3.2.1.01.0.1.01.27,AP 00358 - AP. INCR - ITR,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.28,AP. PRODUCAO MINERAL - CFM,9,"R$ 1.798,62",1798.62,"R$ 3.745,25",3745.25,"R$ 0,00",0,"R$ 0,00",0,"R$ 5.559,31",5559.31,"R$ 5.398,82",5398.82,"R$ 3.633,72",3633.72,"R$ 2.672,10",2672.1,"R$ 2.406,72",2406.72,"R$ 1.344,66",1344.66,"R$ 2.753,82",2753.82,"R$ 5.211,12",5211.12,,0,"R$ 0,00",0,"R$ 4.460,73",4460.73,"R$ 38.984,87",38984.87
1.3.2.1.01.0.1.01.29,AP FUNDO MUN.DIREITOS CRIANCA E ADOLESCENTE - FMDCA,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.30,AP 00789 - APLICACAO SEMES FADESP,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.31,AP APLICACAO FUBEM - DONATIVOS,9,"R$ 0,00",0,"R$ 840,64",840.64,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 796,24",796.24,"R$ 912,38",912.38,"R$ 1.498,24",1498.24,"R$ 792,83",792.83,"R$ 1.297,82",1297.82,"R$ 781,89",781.89,"R$ 936,98",936.98,,0,"R$ 0,00",0,"R$ 888,29",888.29,"R$ 8.745,31",8745.31
1.3.2.1.01.0.1.01.32,AP 00987 - APLICACAO F.M.P.R.M.A.-SEMAM,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.33,AP APLICACAO FEX - FOMENTO EXPORTACAO,9,"R$ 16,38",16.38,"R$ 18,87",18.87,"R$ 1.000,00",1000,"R$ 0,00",0,"R$ 14,80",14.8,"R$ 14,80",14.8,"R$ 20,49",20.49,"R$ 17,44",17.44,"R$ 17,86",17.86,"R$ 14,60",14.6,"R$ 17,62",17.62,"R$ 21,14",21.14,,0,"R$ 1.000,00",1000,"R$ 19,97",19.97,"R$ 193,97",193.97
1.3.2.1.01.0.1.01.34,AP 01029 - AP SEAS PROGRAMA PROTECAO BASICA,9,"R$ 190,61",190.61,"R$ 221,37",221.37,"R$ 0,00",0,"R$ 0,00",0,"R$ 171,94",171.94,"R$ 185,71",185.71,"R$ 240,26",240.26,"R$ 203,93",203.93,"R$ 208,78",208.78,"R$ 169,82",169.82,"R$ 205,89",205.89,"R$ 246,74",246.74,,0,"R$ 0,00",0,"R$ 233,92",233.92,"R$ 2.278,97",2278.97
1.3.2.1.01.0.1.01.35,AP 01030 - SEAS-PROGRAMA PROTECAO ESPECIAL,9,"R$ 820,53",820.53,"R$ 728,29",728.29,"R$ 0,00",0,"R$ 0,00",0,"R$ 747,38",747.38,"R$ 801,14",801.14,"R$ 931,04",931.04,"R$ 852,68",852.68,"R$ 898,73",898.73,"R$ 732,84",732.84,"R$ 450,64",450.64,"R$ 573,59",573.59,,0,"R$ 0,00",0,"R$ 609,80",609.8,"R$ 8.146,66",8146.66
1.3.2.1.01.0.1.01.36,AP 01034 - AP SEAS PROG PROT ESP MEDIA COMPLEXIDADE CREAS,9,"R$ 799,16",799.16,"R$ 570,84",570.84,"R$ 0,00",0,"R$ 0,00",0,"R$ 725,00",725,"R$ 737,51",737.51,"R$ 885,99",885.99,"R$ 854,99",854.99,"R$ 875,32",875.32,"R$ 713,02",713.02,"R$ 392,42",392.42,"R$ 479,52",479.52,,0,"R$ 0,00",0,"R$ 495,03",495.03,"R$ 7.528,80",7528.8
1.3.2.1.01.0.1.01.37,AP (C) 01047 - AP DRAGAGEM RIO SAO JORGE,9,"R$ 597.463,00",597463,"R$ 216.636,90",216636.9,"R$ 15.000,00",15000,"R$ 0,00",0,"R$ 0,00",0,"R$ 177.289,72",177289.72,"R$ 214.995,44",214995.44,"R$ 169.135,56",169135.56,"R$ 228.021,92",228021.92,"R$ 0,00",0,"R$ 221.576,28",221576.28,"R$ 219.533,28",219533.28,,0,"R$ 15.000,00",15000,"R$ 219.205,53",219205.53,"R$ 2.263.857,63",2263857.63
1.3.2.1.01.0.1.01.38,AP 01055 - APLICACAO PMS FUNDO ASSIST SOCIAL - C/C 71.523-9,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.39,AP.DOACOES FMI/SANTOS,9,"R$ 6.387,79",6387.79,"R$ 51.755,35",51755.35,"R$ 0,00",0,"R$ 0,00",0,"R$ 39.601,23",39601.23,"R$ 40.382,11",40382.11,"R$ 8.051,65",8051.65,"R$ 46.246,49",46246.49,"R$ 84.612,35",84612.35,"R$ 38.935,83",38935.83,"R$ 49.071,87",49071.87,"R$ 59.384,45",59384.45,,0,"R$ 0,00",0,"R$ 103.341,43",103341.43,"R$ 527.770,55",527770.55
1.3.2.1.01.0.1.01.40,AP FUNDURB,9,"R$ 15.219,39",15219.39,"R$ 18.489,60",18489.6,"R$ 0,00",0,"R$ 0,00",0,"R$ 13.837,83",13837.83,"R$ 14.713,90",14713.9,"R$ 0,00",0,"R$ 17.081,09",17081.09,"R$ 17.020,18",17020.18,"R$ 13.809,61",13809.61,"R$ 17.971,63",17971.63,"R$ 21.231,41",21231.41,,0,"R$ 0,00",0,"R$ 19.812,45",19812.45,"R$ 169.187,09",169187.09
1.3.2.1.01.0.1.01.41,AP RECEITA FIXA - SABESP,9,"R$ 103.040,26",103040.26,"R$ 0,00",0,"R$ 89.000,00",89000,"R$ 0,00",0,"R$ 49.790,22",49790.22,"R$ 31.819,90",31819.9,"R$ 30.314,44",30314.44,"R$ 59.249,89",59249.89,"R$ 60.885,71",60885.71,"R$ 48.387,49",48387.49,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 89.000,00",89000,"R$ 0,00",0,"R$ 383.487,91",383487.91
1.3.2.1.01.0.1.01.42,AP 70% DEPOSITOS JUDICIAIS,9,"R$ 188.403,34",188403.34,"R$ 228.846,68",228846.68,"R$ 1.644.000,00",1644000,"R$ 0,00",0,"R$ 169.150,89",169150.89,"R$ 167.668,68",167668.68,"R$ 248.371,32",248371.32,"R$ 203.543,22",203543.22,"R$ 206.452,36",206452.36,"R$ 167.317,98",167317.98,"R$ 212.925,83",212925.83,"R$ 255.115,06",255115.06,,0,"R$ 1.644.000,00",1644000,"R$ 241.818,65",241818.65,"R$ 2.289.614,01",2289614.01
1.3.2.1.01.0.1.01.43,AP PERMISSÃO USO DO ESPAÇO AÉREO,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
1.3.2.1.01.0.1.01.44,AP CONTA MOVIMENTO,9,"R$ 1.110.746,35",1110746.35,"R$ 1.563.572,20",1563572.2,"R$ 18.692.000,00",18692000,"R$ 0,00",0,"R$ 1.378.660,22",1378660.22,"R$ 1.115.440,76",1115440.76,"R$ 1.678.483,63",1678483.63,"R$ 1.117.948,15",1117948.15,"R$ 962.507,08",962507.08,"R$ 837.457,92",837457.92,"R$ 818.527,91",818527.91,"R$ 939.498,84",939498.84,,0,"R$ 18.692.000,00",18692000,"R$ 1.211.046,87",1211046.87,"R$ 12.733.889,93",12733889.93
1.3.2.1.01.0.1.01.45,AP 13 SALARIO E ENC.,9,"R$ 28,74",28.74,"R$ 33,36",33.36,"R$ 75.000,00",75000,"R$ 0,00",0,"R$ 26,04",26.04,"R$ 25,89",25.89,"R$ 36,03",36.03,"R$ 30,60",30.6,"R$ 31,41",31.41,"R$ 25,67",25.67,"R$ 32,78",32.78,"R$ 38,76",38.76,,0,"R$ 75.000,00",75000,"R$ 35,54",35.54,"R$ 344,82",344.82
1.3.2.1.01.0.1.01.46,AP PROV. DE FOLHA E ENCARGOS,9,"R$ 6.486,05",6486.05,"R$ 7.548,14",7548.14,"R$ 1.545.000,00",1545000,"R$ 0,00",0,"R$ 6.063,18",6063.18,"R$ 6.220,65",6220.65,"R$ 8.221,71",8221.71,"R$ 6.957,81",6957.81,"R$ 7.149,90",7149.9,"R$ 5.877,29",5877.29,"R$ 115.737,85",115737.85,"R$ 13.880,96",13880.96,,0,"R$ 1.545.000,00",1545000,"R$ 8.030,15",8030.15,"R$ 192.173,69",192173.69
1.3.2.1.01.0.1.01.47,AP VALORES CAUCIONADOS,9,"R$ 62.441,78",62441.78,"R$ 16.165,19",16165.19,"R$ 190.000,00",190000,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"-R$ 31.932,56",-31932.56,"R$ 10.503,03",10503.03,"R$ 14.870,95",14870.95,"R$ 0,00",0,"R$ 15.481,11",15481.11,"R$ 18.266,79",18266.79,,0,"R$ 190.000,00",190000,"R$ 21.416,54",21416.54,"R$ 127.212,83",127212.83
1.3.2.1.01.0.1.01.48,AP PMS REEMB DE SAL - CEDIDOS,9,"R$ 6.897,93",6897.93,"R$ 22.522,46",22522.46,"R$ 19.000,00",19000,"R$ 0,00",0,"R$ 1.868,10",1868.1,"R$ 879,42",879.42,"R$ 21.196,79",21196.79,"R$ 14.021,30",14021.3,"R$ 11.379,24",11379.24,"R$ 3.716,31",3716.31,"R$ 29.820,92",29820.92,"R$ 31.160,38",31160.38,,0,"R$ 19.000,00",19000,"R$ 27.360,74",27360.74,"R$ 170.823,59",170823.59
1.3.2.1.01.0.1.01.49,AP. RECEITA SEAS,9,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0,,0,"R$ 0,00",0,"R$ 0,00",0,"R$ 0,00",0
