cnpj;ano;url_principal;vl_prestacao_servicos;vl_recursos_subvencoes_publicas;vl_recursos_contribuicoes_publicas;vl_recursos_convenios_publicos;vl_recursos_auxi­lios_publicos;vl_recursos_termo_parceria;vl_doacoes_contribuicoes_custeio;vl_receita_convenios_saude_conveniados;vl_prest_servicos_saude_conveniados;vl_sus_sistema_unico_saude;vl_inscricoes_cursos_vestibulares;vl_servicos_educacionais;vl_taxa_mensalidades_contribuicoes;vl_contribuicao_empresas_mantenedoras;vl_doacoes_campanhas_patroci­nios;vl_recusos_internacionais;vl_bolsas_estudo_concedidas;vl_atendimento_gratuito;vl_descontos_comerciais_concedidos;vl_pis_receitas;vl_cofins_receitas;vl_icms_vendas;vl_iss_servicos;vl_vendas_canceladas;vl_outras_deducoes;vl_outras_receitas_operacionais;vl_descontos_obtidos;vl_rendalugueis_arrendamentos;vl_rendimentos_ti­tulos_aplicacoes_mercado_financeiro;vl_impostos_aplicacoes_financeiras;vl_outras_receitas_financeiras;vl_vendativo_permanente;vl_doacoes_receb_bens_mercadorias;vl_outras_receitas_nao_operacionais;vl_outras_receitas_nao_classificadas_anteriormente;vl_total_receitas;vl_salarios_funcionarios_(c/_vi­nculo_empregati­cio);vl_encargos_sociais_pessoal;vl_despesas_diversas_pessoal;vl_remuneracao_dirigentes;vl_encargos_sociais_dirigentes;vl_outros_encargos_sociais_compulsorios;vl_outras_despesas_pessoal;vl_recursos_humanos_externos_pessofi­sica;vl_recursos_humanos_externos_pessojuri­dica;vl_inss_servicos_prestados_por_terceiros;vl_outras_despesas_servicos_contratados;vl_custos_projetos;vl_agua_gas_energieletrica;vl_alugueis_pagos;vl_despesas_vei­culos;vl_diarias_viagens;vl_hospedagem;vl_passagens_aereas/rodoviarias;vl_telefone_fax_outras_despesas_comunicacoes;vl_publicacoes_tecnicas;vl_servicos_tecnicos_especializados;vl_despesas_informatica;vl_premios_seguros_contratados;vl_despesas_atividades_sociais_culturais;vl_outras_despesas_administrativas;vl_ensifundamental;vl_curso_superior;vl_estagiarios;vl_mestrados_doutorados_pos_doutorados;vl_outras_despesas_bolsas_estudo
58.207.572/0001-26;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8618/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40.464.662,42;0,00;0,00;0,00;5.215.738,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;169.040,96;0,00;0,00;0,00;23.155.859,41;0,00;447.497,16;0,00;0,00;0,00;0,00;58.683.239,11;8.084.019,35;1.155.936,05;0,00;0,00;0,00;0,00;0,00;201.010,68;496.331,39;0,00;0,00;0,00;401.116,02;0,00;0,00;2.394,80;6.000,00;0,00;0,00;21.566,71;0,00;63.825,45;8.430,11;0,00;1.938.912,10;0,00;2.468.544,33;0,00;0,00;0,00
64.042.740/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/8775/RelatorioCircunstanciado.html;0,00;456.818,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;185.285,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.508,95;2.247,09;0,00;0,00;0,00;171,08;0,00;0,00;0,00;44.082,99;690.114,22;241.378,92;34.359,29;43.395,74;0,00;0,00;0,00;0,00;27.356,40;0,00;0,00;0,00;0,00;3.948,22;2.430,00;12.428,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.497,03;0,00;232.899,28;0,00;0,00;0,00;0,00;0,00
52.246.451/0001-07;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/133706/RelatorioCircunstanciado.html;0,00;0,00;0,00;222.852,08;0,00;0,00;12.016,09;0,00;0,00;0,00;0,00;0,00;1.211.975,01;0,00;0,00;0,00;0,00;502.702,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34.798,28;1.827,56;17,52;1.454,54;0,00;0,00;215.000,00;30.781,61;1.227.985,14;584.960,82;244.013,26;112.949,40;0,00;0,00;0,00;54.950,70;35.810,34;45.753,65;0,00;0,00;0,00;96.958,00;0,00;6.068,84;0,00;0,00;0,00;13.659,63;0,00;0,00;1.587,95;4.184,37;0,00;205.644,96;0,00;0,00;0,00;0,00;0,00
51.642.288/0001-39;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/134008/RelatorioCircunstanciado.html;0,00;765.579,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;509.151,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;93,87;0,00;0,00;0,00;0,00;0,00;0,00;1.274.825,12;898.212,03;65.094,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46.893,49;0,00;0,00;0,00;0,00;0,00;285.765,93;0,00;0,00;0,00;0,00;0,00
15.699.589/0001-35;2012;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/134501/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
58.269.515/0001-71;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/9434/RelatorioCircunstanciado.html;0,00;531.234,00;0,00;162.124,15;0,00;0,00;11.342,62;0,00;0,00;0,00;0,00;0,00;9.253,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48.717,76;0,00;0,00;18.082,13;0,00;0,00;97.883,29;37.512,66;0,00;811.110,00;1.727.259,69;436.426,19;44.418,19;0,00;0,00;0,00;0,00;32.389,27;0,00;0,00;0,00;0,00;0,00;19.594,12;0,00;489,17;0,00;0,00;2.543,72;2.118,39;390,00;54.605,15;2.098,50;0,00;0,00;889.245,17;0,00;0,00;0,00;0,00;0,00
58.257.023/0001-66;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/22008/RelatorioCircunstanciado.html;0,00;754.996,80;51.248,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32.045,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.450,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;887.740,97;329.836,31;71.933,09;47.042,15;0,00;0,00;0,00;500,60;0,00;0,00;0,00;1.330,30;0,00;10.599,83;0,00;0,00;0,00;0,00;0,00;3.080,79;0,00;0,00;0,00;0,00;0,00;356.168,80;0,00;0,00;0,00;0,00;0,00
58.207.572/0001-26;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/138176/RelatorioCircunstanciado.html;0,00;0,00;0,00;2.258.596,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40.175.508,81;0,00;0,00;0,00;1.405.404,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;303.091,68;0,00;0,00;0,00;31.561.468,90;0,00;1.480.030,31;0,00;0,00;0,00;0,00;73.767.108,76;11.989.447,07;1.559.004,98;0,00;0,00;0,00;0,00;0,00;40.378,33;1.320.976,28;0,00;0,00;2.311.585,49;365.064,60;0,00;0,00;6.561,58;0,00;0,00;43.512,80;11.941,59;0,00;326.714,80;11.578,94;0,00;1.136.060,88;712.729,00;4.508.592,22;0,00;0,00;0,00
58.194.622/0001-88;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/139886/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61.501.542,95;2.160.030,20;8.515.480,01;0,00;0,00;29.380.770,61;0,00;0,00;0,00;0,00;72.041,48;0,00;0,00;0,00;0,00;0,00;367.573,95;2.388.838,98;170.866,44;227.746,41;901.454,04;0,00;0,00;260.677,46;0,00;0,00;41.886,84;0,00;100.332.000,55;24.089.970,91;2.264.906,67;1.338.768,16;0,00;0,00;0,00;0,00;16.716.487,93;10.700.872,62;0,00;1.420.537,32;0,00;1.344.495,87;0,00;51.100,72;44.336,85;0,00;0,00;126.753,20;0,00;287.581,29;113.581,31;105.779,50;0,00;27.737.307,77;0,00;0,00;210.227,70;0,00;0,00
64.715.899/0001-01;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/139890/RelatorioCircunstanciado.html;0,00;309.581,76;0,00;12.346,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;230.985,26;0,00;95.297,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91,09;0,00;0,00;0,00;0,00;0,00;0,00;648.302,47;412.714,77;73.398,07;25.837,50;0,00;0,00;0,00;0,00;31.286,76;13.521,30;1.262,00;114,90;0,00;15.006,75;0,00;5.747,46;0,00;0,00;0,00;4.623,56;0,00;0,00;1.488,50;9.661,67;0,00;138.530,23;0,00;0,00;0,00;0,00;0,00
58.198.227/0001-73;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/10599/RelatorioCircunstanciado.html;1.004.515,20;1.753.058,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.745,27;0,00;284.714,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;255.467,45;234.514,49;0,00;18.034,46;0,00;0,00;729.900,12;0,00;4.300.951,67;1.193.130,31;394.508,01;77.070,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103.568,99;205.000,00;49.096,91;2.564,63;0,00;0,00;66.990,16;0,00;0,00;57.344,73;0,00;0,00;1.199.782,58;0,00;0,00;0,00;0,00;0,00
58.224.692/0001-31;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/140628/RelatorioCircunstanciado.html;26.045,00;712.174,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;174.379,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;855,82;0,00;0,00;0,00;0,00;0,00;644,06;0,00;0,00;0,00;0,00;0,00;0,00;912.387,01;325.562,62;72.011,59;93.974,05;0,00;0,00;0,00;0,00;5.088,22;161.145,44;1.135,81;453,82;121,00;49.020,07;45.660,00;2.612,93;1.270,82;0,00;0,00;3.388,80;2.677,60;0,00;7.838,94;9.280,91;0,00;4.279,41;0,00;0,00;0,00;0,00;0,00
58.250.267/0001-17;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/141547/RelatorioCircunstanciado.html;0,00;0,00;0,00;315.538,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;105.600,00;0,00;34.511,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;212.973,09;0,00;0,00;34,19;0,00;0,00;0,00;0,00;668.657,90;401.999,91;78.589,02;0,00;0,00;0,00;0,00;0,00;4.560,00;23.597,13;0,00;5.120,00;0,00;10.325,73;0,00;0,00;0,00;0,00;0,00;7.034,90;0,00;0,00;0,00;9.298,55;0,00;68.765,16;0,00;0,00;0,00;0,00;0,00
58.191.008/0001-62;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/141824/RelatorioCircunstanciado.html;0,00;0,00;0,00;8.430,00;0,00;0,00;8.397,61;0,00;0,00;0,00;0,00;89.008.868,47;68.319,70;0,00;1.283.300,00;0,00;20.273.578,74;1.222.983,11;0,00;0,00;0,00;0,00;0,00;0,00;61.216,12;3.920.862,02;13.253,33;645.578,76;428.598,40;0,00;2.491.800,62;1.489.369,50;0,00;2.950.908,64;1.787.383,48;82.547.292,56;34.587.938,89;15.143.137,98;54.338,19;0,00;0,00;0,00;761.772,00;135.545,02;3.516.282,16;0,00;3.954.220,68;3.935.712,38;2.025.782,64;765.498,62;106.281,27;42.287,54;0,00;0,00;746.890,19;129.997,57;1.433.654,21;473.068,44;542.977,55;0,00;4.567.978,15;0,00;332.265,42;128.219,24;0,00;0,00
58.222.910/0001-07;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/142365/RelatorioCircunstanciado.html;0,00;36.000,00;0,00;885.909,80;0,00;0,00;45.928,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;667.710,60;0,00;377.114,81;47.572,64;0,00;0,00;0,00;0,00;0,00;0,00;2.060.236,55;1.455.085,14;157.032,14;0,00;0,00;0,00;0,00;64.543,93;6.960,50;49.121,61;0,00;0,00;0,00;4.589,56;0,00;8.734,03;0,00;0,00;0,00;15.130,70;0,00;0,00;7.827,58;3.113,66;2.090,45;287.946,09;0,00;0,00;46.649,32;0,00;0,00
52.246.451/0001-07;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/143697/RelatorioCircunstanciado.html;0,00;0,00;0,00;314.860,77;0,00;0,00;8.015,34;0,00;0,00;0,00;0,00;0,00;1.656.604,98;0,00;0,00;0,00;0,00;720.818,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.380,83;7.059,79;390,82;3.173,29;0,00;0,00;122.000,00;28.428,48;1.452.314,04;686.502,46;326.460,34;138.278,29;0,00;0,00;0,00;95.194,83;72.116,64;39.468,21;0,00;0,00;0,00;97.213,64;0,00;6.700,25;0,00;0,00;0,00;16.750,49;0,00;0,00;1.324,61;2.975,28;0,00;190.312,03;0,00;0,00;0,00;0,00;0,00
58.269.515/0001-71;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/144523/RelatorioCircunstanciado.html;0,00;769.697,84;0,00;0,00;0,00;0,00;152.573,88;0,00;0,00;0,00;0,00;0,00;9.200,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;355,46;0,00;0,00;0,00;0,00;84.264,60;147.842,31;1.163.934,81;702.272,76;68.196,41;81.080,95;0,00;0,00;0,00;0,00;3.528,30;1.485,50;0,00;0,00;52.203,07;19.923,64;0,00;1.953,66;0,00;0,00;0,00;3.560,37;0,00;14.020,37;0,00;1.901,06;0,00;103.522,55;0,00;0,00;0,00;0,00;0,00
58.259.433/0001-46;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/147618/RelatorioCircunstanciado.html;0,00;271.564,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.746,92;0,00;124.943,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.050,00;0,00;0,00;0,00;0,00;0,00;0,00;77.007,25;572.312,75;219.894,95;36.576,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90.391,84;28.101,37;0,00;1.442,00;0,00;0,00;0,00;0,00;0,00;59.728,10;0,00;910,52;0,00;137.152,03;0,00;0,00;0,00;0,00;0,00
71.554.695/0001-00;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/148210/RelatorioCircunstanciado.html;397.230,11;0,00;0,00;6.520.325,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.271,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.048,00;162,28;0,00;7.974,79;0,00;0,00;0,00;0,00;0,00;0,00;6.929.012,30;3.066.817,26;1.357.177,06;711.139,72;0,00;0,00;0,00;849.246,55;20.000,00;566.683,39;4.000,00;0,00;82.024,56;4.076,94;22.440,56;2.079,53;0,00;0,00;0,00;15.039,79;500,00;63.172,00;22.883,01;454,86;2.319,52;72.993,62;0,00;0,00;0,00;0,00;0,00
11.043.826/0001-54;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/149301/RelatorioCircunstanciado.html;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.214,70;0,00;0,00;0,00;0,00;0,00;0,00
71.545.636/0001-67;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/150029/RelatorioCircunstanciado.html;10.211,00;60.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70.361,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60.594,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16.543,00;0,00;0,00;0,00;0,00;0,00
10.227.433/0001-38;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/150215/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;92.698,50;0,00;0,00;0,00;0,00;91.805,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.530,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.798,59;6.787,82;0,00;0,00;0,00;0,00;181.962,65;89.963,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;71.999,73;0,00;0,00;0,00;0,00;0,00
11.061.995/0001-17;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/151029/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.588,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49.588,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.273,47;602,22;0,00;0,00;509,03;0,00;0,00;0,00;0,00;0,00;31.447,45;0,00;0,00;0,00;0,00;0,00
51.642.288/0001-39;2013;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/151700/RelatorioCircunstanciado.html;0,00;844.319,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;576.942,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.167,63;0,00;0,00;0,00;0,00;0,00;0,00;1.422.429,22;961.595,66;77.067,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52.811,35;0,00;0,00;0,00;0,00;0,00;342.740,29;0,00;0,00;0,00;0,00;0,00
58.225.905/0001-40;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/155151/RelatorioCircunstanciado.html;3.146.707,72;1.336.550,61;0,00;765.017,22;0,00;0,00;74.072,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;892.694,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;271.783,71;0,00;0,00;37.685,53;0,00;0,00;0,00;0,00;6.524.511,68;2.710.908,88;1.059.194,21;347.556,42;0,00;0,00;0,00;152.805,80;0,00;0,00;0,00;0,00;0,00;208.748,20;69.738,83;192.702,17;0,00;0,00;0,00;89.196,02;0,00;428.311,54;5.509,52;31.095,03;342,00;117.186,11;0,00;0,00;0,00;0,00;0,00
58.258.633/0001-84;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/108533/RelatorioCircunstanciado.html;0,00;138.355,20;0,00;0,00;0,00;0,00;250.195,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.616,13;0,00;0,00;6.299,95;0,00;0,00;0,00;0,00;131,01;0,00;396.597,58;153.478,45;89.852,55;0,00;0,00;0,00;0,00;0,00;35.306,95;4.425,17;0,00;0,00;0,00;4.427,80;0,00;3.967,50;0,00;0,00;0,00;9.115,66;0,00;0,00;6.129,09;0,00;10.026,00;77.535,67;0,00;0,00;0,00;0,00;0,00
58.207.572/0001-26;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/156548/RelatorioCircunstanciado.html;0,00;0,00;0,00;2.761.031,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43.539.813,28;0,00;0,00;0,00;6.371.035,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;208.260,15;0,00;0,00;0,00;44.714.969,58;0,00;1.378.873,91;0,00;0,00;0,00;0,00;85.815.392,77;13.995.419,59;1.880.412,87;0,00;0,00;0,00;0,00;0,00;28.421,54;176.628,87;0,00;0,00;2.831.008,62;402.092,65;0,00;0,00;3.590,68;0,00;0,00;35.300,35;15.439,26;0,00;351.943,28;11.701,53;0,00;2.736.238,52;0,00;0,00;0,00;0,00;0,00
58.191.008/0001-62;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/159494/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;96.935.618,92;194.362,89;0,00;0,00;0,00;23.390.819,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.586.775,70;8.098,63;574.916,13;4.234.931,30;0,00;761.490,54;13.673,39;0,00;544.921,48;5.289.691,33;88.753.660,69;37.863.524,43;16.113.072,08;0,00;0,00;0,00;0,00;0,00;636.621,31;5.844.490,27;0,00;1.252.226,82;3.613.261,71;2.467.715,33;896.232,14;107.171,82;51.999,89;0,00;0,00;409.424,97;159.110,70;0,00;4.122.632,47;529.805,14;101.350,00;1.586.503,24;212.559,33;29.350,86;190.584,43;0,00;202.697,91
58.251.711/0001-19;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/162991/RelatorioCircunstanciado.html;1.210.485,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146.720.528,55;448.105,19;0,00;3.573.519,51;0,00;22.718.946,32;0,00;10.411.805,72;0,00;0,00;0,00;0,00;1.117.922,59;167.920,85;456.210,50;82.772,30;134.408,98;18.716.440,68;0,00;1.345.117,07;19.400,00;0,00;0,00;0,00;138.290.393,10;47.526.293,41;5.493.918,98;3.323.754,27;0,00;0,00;2.005.403,27;0,00;1.721.754,44;8.275.141,39;0,00;0,00;6.915.692,82;2.540.966,33;4.785.334,01;57.889,61;377.829,16;0,00;0,00;501.932,15;0,00;0,00;62.149,80;0,00;3.073.826,04;2.102.657,71;0,00;0,00;0,00;0,00;0,00
58.250.267/0001-17;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/164189/RelatorioCircunstanciado.html;0,00;0,00;0,00;373.235,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;95.000,00;0,00;38.830,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;225.538,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;732.604,21;442.560,50;41.862,82;0,00;0,00;0,00;0,00;63.608,04;15.928,90;21.044,91;0,00;0,00;0,00;14.691,27;0,00;0,00;0,00;0,00;0,00;3.644,35;0,00;0,00;0,00;8.729,10;0,00;72.023,47;0,00;0,00;0,00;0,00;0,00
15.699.589/0001-35;2014;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/167017/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;2.375,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.375,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.918,75;0,00;7.713,68;0,00;0,00;0,00;30,00;0,00;4.706,00;0,00;0,00;3.005,90;2.445,45;0,00;0,00;0,00;0,00;0,00
58.230.293/0001-83;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25830/RelatorioCircunstanciado.html;0,00;506.824,91;0,00;0,00;5.862,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37.731,05;0,00;28.675,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.375,84;0,00;0,00;0,00;0,00;3.973,58;0,00;0,00;0,00;0,00;636.443,06;318.295,17;56.389,27;19.494,97;0,00;0,00;0,00;1.637,64;0,00;0,00;0,00;9.174,64;0,00;6.713,56;0,00;3.749,73;0,00;0,00;0,00;2.924,59;660,00;0,00;0,00;0,00;0,00;190.775,34;0,00;0,00;0,00;0,00;0,00
58.218.207/0001-17;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/25852/RelatorioCircunstanciado.html;108.935,11;166.249,99;0,00;0,00;0,00;0,00;769.656,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150.419,89;0,00;0,00;70.478,87;0,00;0,00;0,00;0,00;0,00;0,00;1.265.740,76;455.324,22;93.634,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35.995,89;0,00;0,00;0,00;0,00;0,00;18.710,09;0,00;0,00;2.552,52;4.474,64;0,00;837.013,67;0,00;0,00;0,00;0,00;0,00
58.194.622/0001-88;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26387/RelatorioCircunstanciado.html;3.324.327,03;59.000,00;0,00;0,00;0,00;0,00;108.788,89;44.641.862,54;1.777.701,47;6.751.540,65;0,00;0,00;24.024.609,97;0,00;0,00;0,00;0,00;200.166,50;0,00;0,00;0,00;0,00;0,00;0,00;10.338.099,99;0,00;0,00;379.643,03;0,00;0,00;0,00;10.305,12;0,00;170.883,58;0,00;70.710.395,79;15.512.371,34;1.548.402,40;0,00;0,00;0,00;0,00;1.138.642,92;8.751.729,94;3.901.390,10;0,00;0,00;0,00;1.307.101,59;20.499,38;41.984,59;25.361,90;0,00;0,00;405.544,41;30.760,22;467.644,20;0,00;125.336,40;0,00;21.151.503,68;0,00;0,00;0,00;0,00;0,00
58.225.905/0001-40;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/26785/RelatorioCircunstanciado.html;2.134.182,93;946.577,52;0,00;408.488,18;0,00;0,00;156.654,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;703.420,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;246.585,53;0,00;0,00;26.581,21;1.900,00;0,00;45.572,96;0,00;4.669.963,31;1.567.473,87;684.938,63;342.769,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;170.300,04;37.629,81;96.623,33;0,00;0,00;0,00;92.216,59;0,00;598.327,30;0,00;17.926,22;910.509,60;0,00;0,00;0,00;0,00;0,00;0,00
